code,Company name,Listing date,GICs industry group,Market Cap
CTD,CORPORATE TRAVEL MANAGEMENT LIMITED,2010-12-15,Consumer Services,3439566191
A2M,THE A2 MILK COMPANY LIMITED,2015-03-31,Food Beverage & Tobacco,3435693159
AMP,AMP LIMITED,1998-06-15,Diversified Financials,3429411146
APE,EAGERS AUTOMOTIVE LIMITED,1957-04-17,Retailing,3417210310
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA,2007-07-04,Real Estate,3356275247
SCP,SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP,2012-11-26,Real Estate,3348858780
NIC,NICKEL MINES LIMITED,2018-08-20,Materials,3265823336
NWL,NETWEALTH GROUP LIMITED,2017-11-20,Diversified Financials,3247586509
ANN,ANSELL LIMITED,1985-08-22,Health Care Equipment & Services,3211547383
NSR,NATIONAL STORAGE REIT,2013-12-19,Real Estate,3156115536
ARB,ARB CORPORATION LIMITED.,1987-06-26,Automobiles & Components,3155943252
ORA,ORORA LIMITED,2013-12-18,Materials,3133617657
NHC,NEW HOPE CORPORATION LIMITED,2003-09-16,Energy,3104691916
MFG,MAGELLAN FINANCIAL GROUP LIMITED,2004-07-01,Diversified Financials,3053121786
CNU,CHORUS LIMITED,2011-11-21,Telecommunication Services,3030392705
RWC,RELIANCE WORLDWIDE CORPORATION LIMITED,2016-04-29,Capital Goods,3026062950
ABP,ABACUS PROPERTY GROUP,2002-11-14,Real Estate,2986377248
NVX,NOVONIX LIMITED,2015-12-02,Technology Hardware & Equipment,2978345517
NHF,NIB HOLDINGS LIMITED,2007-11-05,Insurance,2933679474
CSR,CSR LIMITED,1962-03-31,Materials,2926858139
SGR,THE STAR ENTERTAINMENT GROUP LIMITED,2011-06-06,Consumer Services,2903643341
PDN,PALADIN ENERGY LTD,1994-03-29,Energy,2690820558
GNE,GENESIS ENERGY LIMITED,2014-04-17,Utilities,2687888865
BWP,BWP TRUST,1998-09-16,Real Estate,2614502078
LKE,LAKE RESOURCES N.L.,2001-08-29,Materials,2590956804
LNK,LINK ADMINISTRATION HOLDINGS LIMITED,2015-10-27,Software & Services,2590586779
HLS,HEALIUS LIMITED,1998-07-03,Health Care Equipment & Services,2547006915
SYA,SAYONA MINING LIMITED,2004-03-30,Materials,2536619522
CHN,CHALICE MINING LIMITED,2006-03-24,Materials,2517116431
NUF,NUFARM LIMITED,1988-11-10,Materials,2504326238
CQR,CHARTER HALL RETAIL REIT,1995-11-15,Real Estate,2476038134
SNZ,SUMMERSET GROUP HOLDINGS LIMITED,2013-07-18,Health Care Equipment & Services,2435758354
CIP,CENTURIA INDUSTRIAL REIT,2012-12-13,Real Estate,2434549148
SUL,SUPER RETAIL GROUP LIMITED,2004-07-06,Retailing,2398277430
OGC,OCEANAGOLD CORPORATION,2007-06-19,Materials,2393005116
PRU,PERSEUS MINING LIMITED,2004-09-22,Materials,2387922445
IFL,INSIGNIA FINANCIAL LTD,2003-12-05,Diversified Financials,2380052515
CXO,CORE LITHIUM LTD,2011-02-11,Materials,2343407330
DHG,DOMAIN HOLDINGS AUSTRALIA LIMITED.,2017-11-16,Media & Entertainment,2332415984
DDR,DICKER DATA LIMITED,2011-01-24,Technology Hardware & Equipment,2321049900
JLG,JOHNS LYNG GROUP LIMITED,2017-10-26,Capital Goods,2280916651
EVT,EVENT HOSPITALITY AND ENTERTAINMENT LTD,1962-06-30,Media & Entertainment,2277692712
SFR,SANDFIRE RESOURCES LIMITED,2004-03-04,Materials,2267199868
GNC,GRAINCORP LIMITED,1998-03-30,Food & Staples Retailing,2208456810
IRE,IRESS LIMITED,2000-11-03,Software & Services,2207274064
CNI,CENTURIA CAPITAL GROUP,2002-03-26,Real Estate,2196020322
BAP,BAPCOR LIMITED,2014-04-24,Retailing,2192604750
ELD,ELDERS LIMITED,1981-06-30,Food Beverage & Tobacco,2190672036
CMW,CROMWELL PROPERTY GROUP,1973-02-22,Real Estate,2186753694
WAM,WAM CAPITAL LIMITED,1999-08-12,Not Applic,2135597329
WEB,WEBJET LIMITED,1997-11-19,Retailing,2069973415
HUB,HUB24 LIMITED,2007-07-05,Diversified Financials,2041483539
INA,INGENIA COMMUNITIES GROUP,2004-07-01,Real Estate,2025688822
PDL,PENDAL GROUP LIMITED,2007-12-10,Diversified Financials,2019197812
SLR,SILVER LAKE RESOURCES LIMITED,2007-11-14,Materials,1999863245
SKC,SKYCITY ENTERTAINMENT GROUP LIMITED,1999-03-29,Consumer Services,1968931491
CCP,CREDIT CORP GROUP LIMITED,2000-09-04,Diversified Financials,1966457768
WPR,WAYPOINT REIT,2016-08-03,Real Estate,1907668346
MP1,MEGAPORT LIMITED,2015-12-17,Software & Services,1900126662
LOV,LOVISA HOLDINGS LIMITED,2014-12-18,Retailing,1886991384
PNI,PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,2007-06-19,Diversified Financials,1881853601
ABC,ADBRI LIMITED,1962-05-31,Materials,1879567358
DEG,DE GREY MINING LIMITED,2002-07-03,Materials,1817408147
